Common Name,Genus,Species,Subspecies,Major Common Type
Blanchard's Cricket Frog,Acris,blanchardi,,frog
Eastern Cricket Frog,Acris,crepitans,,frog
Southern Cricket Frog,Acris,gryllus,,frog
Javanese File Snake,Acrochordus,javanicus,,snake
Northwestern Pond Turtle,Actinemys,marmorata,,turtle
Southwestern Pond Turtle,Actinemys,pallida,,turtle
Peters's Rock Agama,Agama,picticauda,,lizard
Florida Cottonmouth,Agkistrodon,conanti,,snake
Eastern Copperhead,Agkistrodon,contortrix,,snake
Broad-Banded Copperhead,Agkistrodon,laticinctus,,snake
Northern Cottonmouth,Agkistrodon,piscivorus,,snake
American Alligator,Alligator,mississippiensis,,crocodilian
Ringed Salamander,Ambystoma,annulatum,,salamander
Streamside Salamander,Ambystoma,barbouri,,salamander
Reticulated Flatwoods Salamander,Ambystoma,bishopi,,salamander
California Tiger Salamander,Ambystoma,californiense,,salamander
Frosted Flatwoods Salamander,Ambystoma,cingulatum,,salamander
Northwestern Salamander,Ambystoma,gracile,,salamander
Jefferson Salamander,Ambystoma,jeffersonianum,,salamander
Blue-Spotted Salamander,Ambystoma,laterale,,salamander
Mabee's Salamander,Ambystoma,mabeei,,salamander
Long-Toed Salamander,Ambystoma,macrodactylum,,salamander
Eastern Long-Toed Salamander,Ambystoma,macrodactylum,columbianum,salamander
Santa Cruz Long-Toed Salamander,Ambystoma,macrodactylum,croceum,salamander
Northern Long-Toed Salamander,Ambystoma,macrodactylum,krausei,salamander
Western Long-Toed Salamander,Ambystoma,macrodactylum,macrodactylum,salamander
Southern Long-Toed Salamander,Ambystoma,macrodactylum,sigillatum,salamander
Spotted Salamander,Ambystoma,maculatum,,salamander
Western Tiger Salamander,Ambystoma,mavortium,,salamander
Gray Tiger Salamander,Ambystoma,mavortium,diaboli,salamander
Barred Tiger Salamander,Ambystoma,mavortium,mavortium,salamander
Blotched Tiger Salamander,Ambystoma,mavortium,melanostictum,salamander
Arizona Tiger Salamander,Ambystoma,mavortium,nebulosum,salamander
Sonoran Tiger Salamander,Ambystoma,mavortium,stebbinsi,salamander
Marbled Salamander,Ambystoma,opacum,,salamander
Mole Salamander,Ambystoma,talpoideum,,salamander
Small-Mouthed Salamander,Ambystoma,texanum,,salamander
Eastern Tiger Salamander,Ambystoma,tigrinum,,salamander
Giant Ameiva,Ameiva,ameiva,,lizard
Dusky Giant Ameiva,Ameiva,praesignis,,lizard
Two-Toed Amphiuma,Amphiuma,means,,salamander
One-Toed Amphiuma,Amphiuma,pholeter,,salamander
Three-Toed Amphiuma,Amphiuma,tridactylum,,salamander
American Toad,Anaxyrus,americanus,,frog
Eastern American Toad,Anaxyrus,americanus,americanus,frog
Dwarf American Toad,Anaxyrus,americanus,charlesmithi,frog
Wyoming Toad,Anaxyrus,baxteri,,frog
Western Toad,Anaxyrus,boreas,,frog
Arroyo Toad,Anaxyrus,californicus,,frog
Yosemite Toad,Anaxyrus,canorus,,frog
Great Plains Toad,Anaxyrus,cognatus,,frog
Chihuahuan Green Toad,Anaxyrus,debilis,,frog
Eastern Chihuahuan Green Toad,Anaxyrus,debilis,debilis,frog
Western Chihuahuan Green Toad,Anaxyrus,debilis,insidior,frog
Black Toad,Anaxyrus,exsul,,frog
Fowler's Toad,Anaxyrus,fowleri,,frog
Canadian Toad,Anaxyrus,hemiophrys,,frog
Houston Toad,Anaxyrus,houstonensis,,frog
Arizona Toad,Anaxyrus,microscaphus,,frog
Amargosa Toad,Anaxyrus,nelsoni,,frog
Red-Spotted Toad,Anaxyrus,punctatus,,frog
Oak Toad,Anaxyrus,quercicus,,frog
Sonoran Green Toad,Anaxyrus,retiformis,,frog
Texas Toad,Anaxyrus,speciosus,,frog
Southern Toad,Anaxyrus,terrestris,,frog
Woodhouse's Toad,Anaxyrus,woodhousii,,frog
Southwestern Woodhouse's Toad,Anaxyrus,woodhousii,australis,frog
Rocky Mountain Toad,Anaxyrus,woodhousii,woodhousii,frog
Green Salamander,Aneides,aeneus,,salamander
Clouded Salamander,Aneides,ferreus,,salamander
Black Salamander,Aneides,flavipunctatus,,salamander
Speckled Black Salamander,Aneides,flavipunctatus,flavipunctatus,salamander
Santa Cruz Black Salamander,Aneides,flavipunctatus,niger,salamander
Sacramento Mountains Salamander,Aneides,hardii,,salamander
Arboreal Salamander,Aneides,lugubris,,salamander
Wandering Salamander,Aneides,vagrans,,salamander
Temblor Legless Lizard,Anniella,alexanderae,,lizard
Big Spring Legless Lizard,Anniella,campi,,lizard
Bakersfield Legless Lizard,Anniella,grinnelli,,lizard
Northern Legless Lizard,Anniella,pulchra,,lizard
San Diegan Legless Lizard,Anniella,stebbinsi,,lizard
Green Anole,Anolis,carolinensis,,lizard
Hispaniolan Green Anole,Anolis,chlorocyanus,,lizard
Crested Anole,Anolis,cristatellus,,lizard
Puerto Rican Crested Anole,Anolis,cristatellus,cristatellus,lizard
Large-Headed Anole,Anolis,cybotes,,lizard
Common Large-Headed Anole,Anolis,cybotes,cybotes,lizard
Bark Anole,Anolis,distichus,,lizard
Green Bark Anole,Anolis,distichus,dominicensis,lizard
Florida Bark Anole,Anolis,distichus,floridanus,lizard
Knight Anole,Anolis,equestris,,lizard
Western Knight Anole,Anolis,equestris,equestris,lizard
Jamaican Giant Anole,Anolis,garmani,,lizard
Cuban Green Anole,Anolis,porcatus,,lizard
Brown Anole,Anolis,sagrei,,lizard
Cuban Brown Anole,Anolis,sagrei,sagrei,lizard
St. Vincent Bush Anole,Anolis,trinitatis,,lizard
Florida Softshell,Apalone,ferox,,turtle
Smooth Softshell,Apalone,mutica,,turtle
Gulf Coast Smooth Softshell,Apalone,mutica,calvata,turtle
Midland Smooth Softshell,Apalone,mutica,mutica,turtle
Spiny Softshell,Apalone,spinifera,,turtle
Gulf Coast Spiny Softshell,Apalone,spinifera,aspera,turtle
Texas Spiny Softshell,Apalone,spinifera,emoryi,turtle
Guadalupe Spiny Softshell,Apalone,spinifera,guadalupensis,turtle
Pallid Spiny Softshell,Apalone,spinifera,pallida,turtle
Eastern Spiny Softshell,Apalone,spinifera,spinifera,turtle
Glossy Snake,Arizona,elegans,,snake
Texas Glossy Snake,Arizona,elegans,arenicola,snake
Mohave Glossy Snake,Arizona,elegans,candida,snake
Desert Glossy Snake,Arizona,elegans,eburnata,snake
Kansas Glossy Snake,Arizona,elegans,elegans,snake
Arizona Glossy Snake,Arizona,elegans,noctivaga,snake
California Glossy Snake,Arizona,elegans,occidentalis,snake
Painted Desert Glossy Snake,Arizona,elegans,philipi,snake
Rocky Mountain Tailed Frog,Ascaphus,montanus,,frog
Coastal Tailed Frog,Ascaphus,truei,,frog
Chihuahuan Spotted Whiptail,Aspidoscelis,exsanguis,,lizard
Gila Spotted Whiptail,Aspidoscelis,flagellicauda,,lizard
Common Spotted Whiptail,Aspidoscelis,gularis,,lizard
Texas Spotted Whiptail,Aspidoscelis,gularis,gularis,lizard
Orange-Throated Whiptail,Aspidoscelis,hyperythra,,lizard
Belding's Orange Throated Whiptail,Aspidoscelis,hyperythra,beldingi,lizard
Little Striped Whiptail,Aspidoscelis,inornata,,lizard
Arizona Striped Whiptail,Aspidoscelis,inornata,arizonae,lizard
Little White Whiptail,Aspidoscelis,inornata,gypsi,lizard
Northern Striped Whiptail,Aspidoscelis,inornata,heptagramma,lizard
Pai Striped Whiptail,Aspidoscelis,inornata,pai,lizard
Laredo Striped Whiptail,Aspidoscelis,laredoensis,,lizard
Marbled Whiptail,Aspidoscelis,marmorata,,lizard
Western Marbled Whiptail,Aspidoscelis,marmorata,marmorata,lizard
Eastern Marbled Whiptail,Aspidoscelis,marmorata,reticuloriens,lizard
Giant Whiptail,Aspidoscelis,motaguae,,lizard
Neaves' Whiptail,Aspidoscelis,neavesi,,lizard
New Mexico Whiptail,Aspidoscelis,neomexicana,,lizard
Colorado Checkered Whiptail,Aspidoscelis,neotesselata,,lizard
Plateau Spotted Whiptail,Aspidoscelis,scalaris,,lizard
Big Bend Spotted Whiptail,Aspidoscelis,scalaris,septemvittata,lizard
Six-Lined Racerunner,Aspidoscelis,sexlineata,,lizard
Eastern Six-Lined Racerunner,Aspidoscelis,sexlineata,sexlineata,lizard
Texas Yellow-Headed Racerunner,Aspidoscelis,sexlineata,stephensae,lizard
Prairie Racerunner,Aspidoscelis,sexlineata,viridis,lizard
Sonoran Spotted Whiptail,Aspidoscelis,sonorae,,lizard
Giant Spotted Whiptail,Aspidoscelis,stictogramma,,lizard
Common Checkered Whiptail,Aspidoscelis,tesselata,,lizard
Tiger Whiptail,Aspidoscelis,tigris,,lizard
California Whiptail,Aspidoscelis,tigris,munda,lizard
Sonoran Tiger Whiptail,Aspidoscelis,tigris,punctilinealis,lizard
Plateau Tiger Whiptail,Aspidoscelis,tigris,septentrionalis,lizard
San Diegan Tiger Whiptail,Aspidoscelis,tigris,stejnegeri,lizard
Great Basin Whiptail,Aspidoscelis,tigris,tigris,lizard
Desert Grassland Whiptail,Aspidoscelis,uniparens,,lizard
Plateau Striped Whiptail,Aspidoscelis,velox,,lizard
Red-Backed Whiptail,Aspidoscelis,xanthonota,,lizard
Brown Basilisk,Basiliscus,vittatus,,lizard
Greenhorn Mountains Slender Salamander,Batrachoseps,altasierrae,,salamander
California Slender Salamander,Batrachoseps,attenuatus,,salamander
Fairview Slender Salamander,Batrachoseps,bramei,,salamander
Inyo Mountains Salamander,Batrachoseps,campi,,salamander
Hell Hollow Slender Salamander,Batrachoseps,diabolicus,,salamander
San Gabriel Mountains Slender Salamander,Batrachoseps,gabrieli,,salamander
Gabilan Mountains Salamander,Batrachoseps,gavilanensis,,salamander
Gregarious Slender Salamander,Batrachoseps,gregarius,,salamander
San Simeon Slender Salamander,Batrachoseps,incognitus,,salamander
Sequoia Slender Salamander,Batrachoseps,kawia,,salamander
Santa Lucia Mountains Slender Salamander,Batrachoseps,luciae,,salamander
Southern California Slender Salamander,Batrachoseps,major,,salamander
Desert Slender Salamander,Batrachoseps,major,aridus,salamander
Garden Salamander,Batrachoseps,major,major,salamander
Lesser Slender Salamander,Batrachoseps,minor,,salamander
Black-Bellied Slender Salamander,Batrachoseps,nigriventris,,salamander
Channel Islands Slender Salamander,Batrachoseps,pacificus,,salamander
Kings River Slender Salamander,Batrachoseps,regius,,salamander
Relictual Slender Salamander,Batrachoseps,relictus,,salamander
Kern Plateau Salamander,Batrachoseps,robustus,,salamander
Kern Canyon Slender Salamander,Batrachoseps,simatus,,salamander
Tehachapi Slender Salamander,Batrachoseps,stebbinsi,,salamander
Oregon Slender Salamander,Batrachoseps,wrighti,,salamander
Boa Constrictor,Boa,constrictor,,snake
Baja California Ratsnake,Bogertophis,rosaliae,,snake
Trans-Pecos Ratsnake,Bogertophis,subocularis,,snake
Northern Trans-Pecos Ratsnake,Bogertophis,subocularis,subocularis,snake
Spectacled Caiman,Caiman,crocodilus,,crocodilian
Zebra-Tailed Lizard,Callisaurus,draconoides,,lizard
Northern Zebra-Tailed Lizard,Callisaurus,draconoides,myurus,lizard
Western Zebra-Tailed Lizard,Callisaurus,draconoides,rhodostictus,lizard
Eastern Zebra-Tailed Lizard,Callisaurus,draconoides,ventralis,lizard
Variable Bloodsucker,Calotes,versicolor,,lizard
Loggerhead Sea Turtle,Caretta,caretta,,turtle
Common Wormsnake,Carphophis,amoenus,,snake
Eastern Wormsnake,Carphophis,amoenus,amoenus,snake
Midwestern Wormsnake,Carphophis,amoenus,helenae,snake
Western Wormsnake,Carphophis,vermis,,snake
Scarletsnake,Cemophora,coccinea,,snake
Florida Scarletsnake,Cemophora,coccinea,coccinea,snake
Northern Scarletsnake,Cemophora,coccinea,copei,snake
Texas Scarletsnake,Cemophora,lineri,,snake
Ocellated Skink,Chalcides,ocellatus,,lizard
Veiled Chameleon,Chamaeleo,calyptratus,,lizard
Northern Rubber Boa,Charina,bottae,,snake
Southern Rubber Boa,Charina,umbratica,,snake
Green Sea Turtle,Chelonia,mydas,,turtle
